review,date,rating,name, address
Can't beat the convenience of the property or top the friendliness of the staff. We'll gladly stay here again on a future visit! It was quiet| comfortable| and an easy walk to DC.,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Everything was amazing from customer service to location to the awesome bed!!!!,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 29| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Overall hotel experience was good. Valet was frustrating| the front was full of cars so we pulled into an empty space. Then we were asked to move the car into another empty space. The point of valet is they move the car for you. We also got charged by the valet app as well as the hotel so we got charged twice. However| the hotel was able to correct it relatively quick. The room was relatively clean and hotel was nice.,Mar 29| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 26| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 23| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Perfect stay in every way! Pandemic preparations for guests was exceptional!,Mar 20| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean comfortable stay. Was there for my NCLEX exam which was literally the next building over so location was very convenient. Staff was very friendly and helpful,Mar 20| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
No bar or restaurant. When I looked at this propertyonline| there was no mention of them being closed. I also was quoted a much different price than I was billed for.  Next time its Hyatt for me and my friends.,Feb 26| 2021,2,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Feb 15| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Feb 7| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
its was crazy when i checked in the name of the hotel was changing the next day so i felt lost until in and asked and they clarified everything about the changes|i love the room i will be booking again it was worth the price.,Feb 5| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Limited food service. and I was limited in my ability to socialize.,Feb 2| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Everything was clean |excelent service|the room was confortable,Feb 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
